05-08 19:44:43.137  9792  9812 I TestRunner: started: insertAndQuery5kSubjects(com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark)
05-08 19:44:45.136  9792  9812 I option1 : Benchmark option 1...
05-08 19:44:45.146  9792  9812 I option1 : 0 KB
05-08 19:44:47.401  9792  9812 I option1 : Insert time: 2254 ms
05-08 19:44:47.402  9792  9812 I option1 : 45512 KB
05-08 19:44:48.421  9792  9812 D Benchmark: -- Running com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark#insertAndQuery5kSubjects --
05-08 19:44:49.718  9792  9812 I option1 : Count result: 10000
05-08 19:44:49.761  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:49.798  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:49.860  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:49.953  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:50.043  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:50.043  9792  9812 I option1 : 27, 325
05-08 19:44:50.060  9792  9812 I option1 : Count result: 10000
05-08 19:44:50.094  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:50.129  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:50.187  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:50.277  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:50.368  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:50.368  9792  9812 I option1 : 16, 308
05-08 19:44:50.384  9792  9812 I option1 : Count result: 10000
05-08 19:44:50.419  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:50.456  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:50.516  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:50.607  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:50.698  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:50.698  9792  9812 I option1 : 16, 314
05-08 19:44:50.715  9792  9812 I option1 : Count result: 10000
05-08 19:44:50.750  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:50.786  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:50.848  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:50.941  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:51.033  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:51.033  9792  9812 I option1 : 16, 318
05-08 19:44:51.049  9792  9812 I option1 : Count result: 10000
05-08 19:44:51.086  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:51.122  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:51.184  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:51.279  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:51.372  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:51.372  9792  9812 I option1 : 16, 323
05-08 19:44:51.389  9792  9812 I option1 : Count result: 10000
05-08 19:44:51.426  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:51.464  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
